,latitude,longitude,price,beds,bath,square,year,Residential,Condominium
240,50.4224024,-104.62319381390029,344900,4.0,2.0,882,1953.0,1.0,0.0
241,50.4009113,-104.64551060149648,399900,4.0,2.0,831,2011.0,1.0,0.0
242,50.4021638,-104.5979301999221,267500,4.0,2.0,1041,1966.0,1.0,0.0
243,50.4395716,-104.59402254685712,254800,2.0,2.0,888,1928.0,1.0,0.0
244,50.448002,-104.60176491706864,134000,3.0,2.0,900,1924.0,1.0,0.0
245,50.4915231,-104.6855428,84900,2.0,1.0,823,1980.0,0.0,1.0
246,50.43952345,-104.58474771908476,100000,1.0,1.0,520,1931.0,1.0,0.0
247,50.42275215,-104.55095096528008,539900,5.0,4.0,2266,1989.0,1.0,0.0
248,50.4691167,-104.62717805116822,89000,2.0,1.0,791,1929.0,1.0,0.0
249,50.5020015,-104.6922103,392900,3.0,3.0,1413,2022.0,1.0,0.0
250,50.43973995,-104.6233390390264,609900,3.0,2.0,1666,1929.0,1.0,0.0
251,50.47193415,-104.60236764988773,254900,2.0,2.0,878,1977.0,1.0,0.0
252,50.472660700000006,-104.6031155466794,299900,4.0,3.0,975,2011.0,1.0,0.0
253,50.4131156,-104.6626689,369900,2.0,3.0,1358,2014.0,1.0,0.0
254,50.450378,-104.5991305,134900,3.0,2.0,1105,2006.0,0.0,1.0
255,50.45902685,-104.62572466040146,49900,3.0,2.0,671,1910.0,1.0,0.0
256,50.434831900000006,-104.5877564264203,334900,1.0,1.0,1601,1952.0,1.0,0.0
257,50.46477645,-104.6257208723006,109000,2.0,1.0,820,1913.0,1.0,0.0
258,50.4415231,-104.55911760951248,579900,6.0,3.0,1620,1983.0,1.0,0.0
259,50.41723755,-104.63410022200348,419900,3.0,2.0,2476,1967.0,1.0,0.0
260,50.4293207,-104.5251775,416000,3.0,3.0,1458,2022.0,1.0,0.0
261,50.4312547,-104.5090665,619900,3.0,3.0,1954,2022.0,1.0,0.0
262,50.45943275,-104.63232450454146,20000,1.0,1.0,542,1924.0,1.0,0.0
263,50.3992066,-104.6561754,304900,3.0,2.0,1222,2014.0,1.0,0.0
264,50.4796908,-104.6635573920964,237900,3.0,3.0,1088,1973.0,1.0,0.0
265,50.4065319,-104.599249937889,309000,5.0,2.0,1584,1965.0,1.0,0.0
266,50.46471845,-104.63989049889912,169900,3.0,2.0,918,1948.0,1.0,0.0
267,50.4066265,-104.59824530620794,259000,3.0,3.0,1109,1965.0,1.0,0.0
268,50.4459731,-104.63722355,259900,2.0,2.0,958,1956.0,1.0,0.0
269,50.4854828,-104.6746879,242900,2.0,1.0,1335,1978.0,1.0,0.0
270,50.49434135,-104.65306736958428,350000,3.0,2.0,962,1998.0,1.0,0.0
271,50.4615561,-104.65998907611856,179900,3.0,2.0,864,1955.0,1.0,0.0
272,50.4321732,-104.6296924,449000,4.0,3.0,1687,1964.0,1.0,0.0
273,50.4045723,-104.65875784506476,399900,4.0,2.0,860,2016.0,1.0,0.0
274,50.44626565,-104.60754769976865,405900,2.0,2.0,1356,2012.0,0.0,1.0
275,50.4861531,-104.65735781878354,535000,4.0,3.0,2110,1978.0,1.0,0.0
276,50.46511185,-104.5868852,209900,3.0,2.0,1328,1976.0,1.0,0.0
277,50.4047999,-104.6567368,269900,2.0,2.0,947,2013.0,0.0,1.0
278,50.44196155,-104.60979645018584,369900,2.0,2.0,1377,2000.0,0.0,1.0
279,50.43472255,-104.59407985,289900,2.0,1.0,912,1922.0,1.0,0.0
